what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828301189
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828345547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828353854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828359886
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321828453433
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321828453480
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321828465839
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1321828472089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828472354
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828499817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828511943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828517164
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1321828518380
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321828523274
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321828525861
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321828531020
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321828533467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828551703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828642943
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project.commands.bspEditor",1321828654165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828654430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828696606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828697026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828853681
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321828854648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321828861880
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321828863173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321828875034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828897509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828937253
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828939763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321828999940
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321829000595
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829002434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321829003541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829004616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829005910
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829005925
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321829028930
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829041259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829048304
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829064388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829066882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829067163
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829067256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829067287
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829067303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829067334
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829071839
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829073397
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321829075080
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829076748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829085009
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829085040
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.removefrombuild",1321829087923
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829088687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829089310
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829090978
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829091835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829094656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829097213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1321829101639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829108201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829110383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829110679
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829110757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829110819
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829110819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829110850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829114653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829115947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321829117412
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829122353
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.removefrombuild",1321829124862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829125626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829131642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829142116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829144251
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1321829145467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829152512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829154117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829154413
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829154476
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829154522
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829154538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829154553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829160538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829161801
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321829163469
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829165807
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829165807
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1321829165822
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829166586
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829166586
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829167552
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829167552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829168456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829262487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829267069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829295778
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829295903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321829306252
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829309868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321829318284
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829357873
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project.commands.bspEditor",1321829363032
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829363297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829372742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829376654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321829724004
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321829724035
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321829751373
