what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317770726468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317770778094
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317770781838
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317770794101
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317770797268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770797533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770802994
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317770840391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770843495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770845711
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317770846818
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317770850157
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317770852544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770853683
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317770853730
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317770857521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770859346
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317770875540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770883637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770901407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770934373
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317770939193
