what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317682907401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317683023427
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683032880
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683033742
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683042663
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683043337
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683045735
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317683147935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317683247988
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1317683251154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683251219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.quickAccess",1317683251219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683254095
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317683362317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683420461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683430120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683431309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683595430
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683595462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1317683673723
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1317683675968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317683677470
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317683705091
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317683720775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317683733328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317684135610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317684136930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317684145181
