what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833743739
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317833748279
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1317833748294
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317833753973
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1317833754628
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1317833754784
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1317833754784
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1317833754784
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1317833754878
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317833758107
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317833764129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833764145
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317833764176
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317833779339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317833790821
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317833792928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833795502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833799324
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317833800400
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317833803723
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317833806063
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317833807218
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317833811024
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317833823614
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317833883816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833922646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317833986904
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317833989447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317834061069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834063503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834294281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834295872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834296886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834297635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834300474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317834301800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835176208
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835180514
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835184882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835203852
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835208454
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835230482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835240311
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317835268017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835271793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835275833
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317835276925
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835277128
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835280295
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317835282682
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317835283867
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835284429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835294195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835384974
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1317835418156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835425520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835437579
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317835438499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835438765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835444365
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835454802
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317835455863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835456128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835461339
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835514531
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317835522763
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835523567
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835528787
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317835531185
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317835532383
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835536200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835542855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835653739
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835653755
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835670693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835670693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835670898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835671829
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835682001
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835707644
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317835713006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835713306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835715340
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835717848
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835732735
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835750509
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317835751739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835752007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835755777
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835766233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317835769087
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317835780947
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317835782193
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835782461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835791781
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317835793169
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835796244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317835798389
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317835799509
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317835802900
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317835805265
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1317835806464
